show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s1,TV Show,Title 1,Director 1,,Japan,1-7-2017,2020,R,6 Seasons,"Romance, Fantasy",Description for Title 1
s2,Movie,Title 2,Director 2,"Actor 2, Actress 2",Germany,14-1-2015,1993,PG-13,134 min,"Romance, Sci-Fi",Description for Title 2
s3,TV Show,Title 3,Director 3,,United States,5-9-2022,2006,TV-MA,3 Seasons,"Documentary, Thriller",Description for Title 3
s4,Movie,Title 4,Director 4,"Actor 4, Actress 4",Spain,9-8-2024,2013,R,180 min,"Horror, Action",Description for Title 4
s5,TV Show,Title 5,Director 5,"Actor 5, Actress 5",Germany,17-6-2020,1990,G,7 Seasons,"Action, Adventure",Description for Title 5
s6,TV Show,Title 6,Director 6,"Actor 6, Actress 6",Spain,24-6-2020,2014,TV-14,9 Seasons,"Fantasy, Documentary",Description for Title 6
s7,Movie,Title 7,Director 7,"Actor 7, Actress 7",Spain,28-5-2019,2003,TV-MA,180 min,"Action, Crime",Description for Title 7
s8,TV Show,Title 8,Director 8,,Japan,13-5-2023,1998,PG,9 Seasons,"Fantasy, Thriller",Description for Title 8
s9,Movie,Title 9,,"Actor 9, Actress 9",Spain,3-11-2021,1995,PG,112 min,"Thriller, Adventure",Description for Title 9
s10,Movie,Title 10,Director 10,"Actor 10, Actress 10",India,12-11-2018,1999,PG-13,76 min,"Drama, Documentary",Description for Title 10
s11,Movie,Title 11,Director 11,"Actor 11, Actress 11",Spain,1-10-2023,2014,PG-13,78 min,"Thriller, Action",Description for Title 11
s12,Movie,Title 12,Director 12,"Actor 12, Actress 12",United Kingdom,27-3-2021,1992,PG-13,130 min,"Horror, Horror",Description for Title 12
s13,Movie,Title 13,Director 13,"Actor 13, Actress 13",Japan,24-5-2020,2020,G,109 min,"Adventure, Documentary",Description for Title 13
s14,TV Show,Title 14,,,United Kingdom,14-11-2019,2022,PG-13,9 Seasons,"Action, Adventure",Description for Title 14
s15,Movie,Title 15,,"Actor 15, Actress 15",Spain,13-5-2015,2001,TV-14,109 min,"Thriller, Thriller",Description for Title 15
s16,Movie,Title 16,Director 16,"Actor 16, Actress 16",South Korea,11-1-2023,2007,TV-MA,107 min,"Comedy, Drama",Description for Title 16
s17,TV Show,Title 17,Director 17,"Actor 17, Actress 17",India,22-5-2024,2010,TV-14,5 Seasons,"Horror, Comedy",Description for Title 17
s18,Movie,Title 18,Director 18,"Actor 18, Actress 18",Spain,28-11-2017,2023,G,107 min,"Romance, Drama",Description for Title 18
s19,TV Show,Title 19,Director 19,"Actor 19, Actress 19",South Korea,14-2-2024,2005,TV-MA,2 Seasons,"Romance, Thriller",Description for Title 19
s20,Movie,Title 20,Director 20,"Actor 20, Actress 20",Germany,6-4-2020,1990,TV-MA,79 min,"Thriller, Crime",Description for Title 20
s21,Movie,Title 21,Director 21,,Spain,23-12-2015,2023,PG-13,77 min,"Adventure, Horror",Description for Title 21
s22,TV Show,Title 22,,"Actor 22, Actress 22",Japan,6-6-2016,1995,G,7 Seasons,"Crime, Romance",Description for Title 22
s23,TV Show,Title 23,Director 23,"Actor 23, Actress 23",United States,26-3-2017,2000,PG,8 Seasons,"Adventure, Action",Description for Title 23
s24,TV Show,Title 24,Director 24,"Actor 24, Actress 24",Japan,17-7-2020,2002,PG-13,9 Seasons,"Horror, Horror",Description for Title 24
s25,TV Show,Title 25,,"Actor 25, Actress 25",Germany,20-2-2023,1992,R,3 Seasons,"Action, Adventure",Description for Title 25
s26,Movie,Title 26,Director 26,"Actor 26, Actress 26",United States,27-7-2018,2009,PG-13,135 min,"Horror, Fantasy",Description for Title 26
s27,TV Show,Title 27,Director 27,,India,16-12-2022,2020,TV-14,7 Seasons,"Crime, Comedy",Description for Title 27
s28,TV Show,Title 28,Director 28,"Actor 28, Actress 28",Germany,13-1-2016,2010,TV-14,3 Seasons,"Fantasy, Horror",Description for Title 28
s29,Movie,Title 29,Director 29,"Actor 29, Actress 29",United Kingdom,5-3-2020,2007,G,120 min,"Action, Romance",Description for Title 29
s30,Movie,Title 30,Director 30,"Actor 30, Actress 30",United States,24-4-2021,2003,PG-13,74 min,"Sci-Fi, Drama",Description for Title 30
s31,TV Show,Title 31,,,Japan,27-7-2020,2014,TV-MA,10 Seasons,"Thriller, Comedy",Description for Title 31
s32,Movie,Title 32,Director 32,"Actor 32, Actress 32",Germany,25-11-2020,1999,PG-13,171 min,"Horror, Sci-Fi",Description for Title 32
s33,Movie,Title 33,Director 33,"Actor 33, Actress 33",United Kingdom,23-7-2018,2007,PG,161 min,"Thriller, Comedy",Description for Title 33
s34,TV Show,Title 34,Director 34,"Actor 34, Actress 34",Japan,20-8-2023,2001,PG-13,4 Seasons,"Documentary, Adventure",Description for Title 34
s35,Movie,Title 35,,,Spain,21-11-2018,2002,G,159 min,"Sci-Fi, Sci-Fi",Description for Title 35
s36,Movie,Title 36,Director 36,"Actor 36, Actress 36",Spain,12-12-2021,2002,PG-13,67 min,"Crime, Drama",Description for Title 36
s37,TV Show,Title 37,Director 37,"Actor 37, Actress 37",Germany,27-9-2020,1999,PG-13,2 Seasons,"Fantasy, Drama",Description for Title 37
s38,Movie,Title 38,Director 38,"Actor 38, Actress 38",Germany,9-11-2020,2004,TV-14,153 min,"Documentary, Thriller",Description for Title 38
s39,TV Show,Title 39,Director 39,"Actor 39, Actress 39",India,26-10-2021,1998,G,1 Seasons,"Action, Documentary",Description for Title 39
s40,TV Show,Title 40,Director 40,,Canada,26-7-2023,2001,G,8 Seasons,"Documentary, Adventure",Description for Title 40
s41,TV Show,Title 41,,"Actor 41, Actress 41",Germany,16-9-2020,2020,TV-14,2 Seasons,"Romance, Horror",Description for Title 41
s42,TV Show,Title 42,Director 42,"Actor 42, Actress 42",South Korea,2-2-2019,2011,PG,9 Seasons,"Drama, Thriller",Description for Title 42
s43,TV Show,Title 43,,"Actor 43, Actress 43",Spain,18-3-2015,1998,R,8 Seasons,"Fantasy, Romance",Description for Title 43
s44,TV Show,Title 44,Director 44,"Actor 44, Actress 44",Canada,18-5-2015,2021,PG-13,5 Seasons,"Documentary, Fantasy",Description for Title 44
s45,TV Show,Title 45,Director 45,"Actor 45, Actress 45",South Korea,24-6-2022,2015,TV-MA,10 Seasons,"Horror, Fantasy",Description for Title 45
s46,TV Show,Title 46,,"Actor 46, Actress 46",Japan,2-4-2019,1991,TV-14,6 Seasons,"Horror, Crime",Description for Title 46
s47,Movie,Title 47,Director 47,"Actor 47, Actress 47",India,26-4-2018,2021,PG-13,141 min,"Sci-Fi, Fantasy",Description for Title 47
s48,TV Show,Title 48,Director 48,"Actor 48, Actress 48",South Korea,13-11-2021,1991,PG-13,2 Seasons,"Adventure, Action",Description for Title 48
s49,TV Show,Title 49,Director 49,"Actor 49, Actress 49",Canada,9-6-2015,1992,PG,8 Seasons,"Fantasy, Sci-Fi",Description for Title 49
s50,TV Show,Title 50,Director 50,"Actor 50, Actress 50",United States,11-2-2021,2021,PG,5 Seasons,"Drama, Adventure",Description for Title 50
s51,Movie,Title 51,,"Actor 51, Actress 51",South Korea,15-7-2021,2010,PG-13,118 min,"Drama, Adventure",Description for Title 51
s52,TV Show,Title 52,Director 52,"Actor 52, Actress 52",United Kingdom,28-7-2023,1997,R,3 Seasons,"Romance, Crime",Description for Title 52
s53,TV Show,Title 53,,"Actor 53, Actress 53",Spain,21-3-2017,2023,G,4 Seasons,"Crime, Fantasy",Description for Title 53
s54,TV Show,Title 54,Director 54,"Actor 54, Actress 54",Japan,5-1-2016,2021,PG,3 Seasons,"Sci-Fi, Drama",Description for Title 54
s55,Movie,Title 55,Director 55,"Actor 55, Actress 55",South Korea,17-2-2024,1991,TV-MA,127 min,"Romance, Comedy",Description for Title 55
s56,TV Show,Title 56,Director 56,"Actor 56, Actress 56",Japan,16-10-2021,2014,R,4 Seasons,"Horror, Action",Description for Title 56
s57,Movie,Title 57,,,Japan,12-8-2021,2003,R,119 min,"Comedy, Documentary",Description for Title 57
s58,TV Show,Title 58,,"Actor 58, Actress 58",United States,13-10-2024,2016,TV-14,3 Seasons,"Documentary, Action",Description for Title 58
s59,TV Show,Title 59,Director 59,"Actor 59, Actress 59",Spain,16-12-2021,2008,G,10 Seasons,"Adventure, Fantasy",Description for Title 59
s60,TV Show,Title 60,Director 60,"Actor 60, Actress 60",South Korea,18-10-2019,1990,PG-13,6 Seasons,"Action, Romance",Description for Title 60
s61,Movie,Title 61,Director 61,"Actor 61, Actress 61",Canada,12-2-2022,2000,R,119 min,"Fantasy, Crime",Description for Title 61
s62,Movie,Title 62,Director 62,"Actor 62, Actress 62",United States,27-2-2017,2011,R,167 min,"Comedy, Fantasy",Description for Title 62
s63,TV Show,Title 63,Director 63,"Actor 63, Actress 63",Canada,2-6-2021,1994,PG,1 Seasons,"Crime, Sci-Fi",Description for Title 63
s64,Movie,Title 64,Director 64,"Actor 64, Actress 64",Canada,5-7-2021,2023,TV-MA,117 min,"Fantasy, Sci-Fi",Description for Title 64
s65,TV Show,Title 65,Director 65,,United Kingdom,3-11-2020,2002,G,6 Seasons,"Thriller, Drama",Description for Title 65
s66,Movie,Title 66,Director 66,"Actor 66, Actress 66",Germany,18-10-2021,2001,PG,73 min,"Action, Horror",Description for Title 66
s67,TV Show,Title 67,Director 67,"Actor 67, Actress 67",Japan,3-11-2024,2010,G,1 Seasons,"Adventure, Thriller",Description for Title 67
s68,TV Show,Title 68,Director 68,"Actor 68, Actress 68",Canada,3-3-2018,1994,TV-14,9 Seasons,"Drama, Adventure",Description for Title 68
s69,TV Show,Title 69,Director 69,,United States,8-10-2024,2002,TV-MA,5 Seasons,"Thriller, Documentary",Description for Title 69
s70,Movie,Title 70,,"Actor 70, Actress 70",South Korea,13-8-2016,2022,TV-14,63 min,"Crime, Fantasy",Description for Title 70
s71,TV Show,Title 71,,"Actor 71, Actress 71",Spain,11-1-2020,2003,PG,3 Seasons,"Sci-Fi, Crime",Description for Title 71
s72,TV Show,Title 72,Director 72,"Actor 72, Actress 72",Japan,27-12-2024,1998,PG,6 Seasons,"Comedy, Thriller",Description for Title 72
s73,Movie,Title 73,Director 73,"Actor 73, Actress 73",India,22-12-2015,2016,PG-13,65 min,"Adventure, Horror",Description for Title 73
s74,Movie,Title 74,Director 74,"Actor 74, Actress 74",United States,1-5-2021,2008,PG-13,167 min,"Action, Fantasy",Description for Title 74
s75,Movie,Title 75,Director 75,"Actor 75, Actress 75",United States,26-9-2015,1991,PG,165 min,"Horror, Adventure",Description for Title 75
s76,TV Show,Title 76,Director 76,,Canada,4-8-2016,2006,PG-13,6 Seasons,"Comedy, Romance",Description for Title 76
s77,TV Show,Title 77,Director 77,"Actor 77, Actress 77",Japan,15-7-2015,2015,PG-13,6 Seasons,"Documentary, Thriller",Description for Title 77
s78,TV Show,Title 78,Director 78,"Actor 78, Actress 78",United States,21-6-2015,2000,PG,2 Seasons,"Comedy, Horror",Description for Title 78
s79,TV Show,Title 79,Director 79,"Actor 79, Actress 79",Canada,25-7-2020,2011,R,10 Seasons,"Documentary, Action",Description for Title 79
s80,Movie,Title 80,Director 80,"Actor 80, Actress 80",Japan,11-1-2019,1994,TV-14,134 min,"Drama, Fantasy",Description for Title 80
s81,TV Show,Title 81,Director 81,"Actor 81, Actress 81",Canada,9-11-2018,2016,G,7 Seasons,"Romance, Fantasy",Description for Title 81
s82,TV Show,Title 82,Director 82,"Actor 82, Actress 82",Germany,14-3-2015,2010,PG-13,9 Seasons,"Action, Horror",Description for Title 82
s83,TV Show,Title 83,,"Actor 83, Actress 83",India,4-9-2017,2009,R,1 Seasons,"Horror, Adventure",Description for Title 83
s84,TV Show,Title 84,Director 84,,Japan,17-9-2022,2021,TV-MA,10 Seasons,"Comedy, Documentary",Description for Title 84
s85,Movie,Title 85,Director 85,"Actor 85, Actress 85",Canada,10-1-2018,2001,TV-MA,100 min,"Horror, Action",Description for Title 85
s86,Movie,Title 86,Director 86,"Actor 86, Actress 86",Japan,15-12-2018,2007,G,128 min,"Fantasy, Thriller",Description for Title 86
s87,Movie,Title 87,Director 87,"Actor 87, Actress 87",India,3-11-2015,1990,G,90 min,"Thriller, Action",Description for Title 87
s88,Movie,Title 88,Director 88,"Actor 88, Actress 88",United Kingdom,17-4-2024,2000,R,124 min,"Drama, Sci-Fi",Description for Title 88
s89,TV Show,Title 89,Director 89,"Actor 89, Actress 89",United States,22-7-2017,1991,TV-MA,1 Seasons,"Crime, Crime",Description for Title 89
s90,TV Show,Title 90,,"Actor 90, Actress 90",Japan,18-11-2021,1996,G,4 Seasons,"Documentary, Thriller",Description for Title 90
s91,TV Show,Title 91,Director 91,"Actor 91, Actress 91",Germany,22-2-2021,2003,PG-13,3 Seasons,"Fantasy, Adventure",Description for Title 91
s92,TV Show,Title 92,Director 92,"Actor 92, Actress 92",Japan,7-3-2020,2013,PG-13,4 Seasons,"Action, Action",Description for Title 92
s93,Movie,Title 93,Director 93,"Actor 93, Actress 93",Japan,25-12-2015,2005,R,149 min,"Thriller, Sci-Fi",Description for Title 93
s94,TV Show,Title 94,Director 94,"Actor 94, Actress 94",United Kingdom,23-10-2015,2014,G,3 Seasons,"Action, Fantasy",Description for Title 94
s95,TV Show,Title 95,Director 95,"Actor 95, Actress 95",United States,6-10-2020,2020,PG,10 Seasons,"Thriller, Thriller",Description for Title 95
s96,Movie,Title 96,Director 96,"Actor 96, Actress 96",United Kingdom,11-2-2017,2009,R,126 min,"Documentary, Sci-Fi",Description for Title 96
s97,TV Show,Title 97,Director 97,"Actor 97, Actress 97",United States,20-8-2016,1992,PG,5 Seasons,"Drama, Action",Description for Title 97
s98,TV Show,Title 98,Director 98,"Actor 98, Actress 98",United States,2-3-2021,1999,G,7 Seasons,"Adventure, Horror",Description for Title 98
s99,TV Show,Title 99,Director 99,"Actor 99, Actress 99",India,10-12-2015,2003,TV-14,3 Seasons,"Romance, Sci-Fi",Description for Title 99
s100,Movie,Title 100,Director 100,"Actor 100, Actress 100",Canada,18-8-2022,2000,TV-MA,90 min,"Crime, Sci-Fi",Description for Title 100
s101,Movie,Title 101,Director 101,"Actor 101, Actress 101",India,23-7-2017,1993,TV-14,136 min,"Fantasy, Crime",Description for Title 101
s102,TV Show,Title 102,,"Actor 102, Actress 102",India,20-4-2016,2020,R,5 Seasons,"Crime, Sci-Fi",Description for Title 102
s103,Movie,Title 103,Director 103,"Actor 103, Actress 103",United Kingdom,18-1-2022,2024,TV-14,142 min,"Documentary, Crime",Description for Title 103
s104,TV Show,Title 104,Director 104,"Actor 104, Actress 104",Spain,14-10-2018,2001,TV-14,4 Seasons,"Romance, Drama",Description for Title 104
s105,TV Show,Title 105,,"Actor 105, Actress 105",Japan,3-7-2016,2010,R,1 Seasons,"Drama, Comedy",Description for Title 105
s106,TV Show,Title 106,Director 106,"Actor 106, Actress 106",South Korea,13-12-2017,2018,G,10 Seasons,"Action, Sci-Fi",Description for Title 106
s107,TV Show,Title 107,,"Actor 107, Actress 107",India,16-12-2015,2024,PG-13,2 Seasons,"Thriller, Fantasy",Description for Title 107
s108,Movie,Title 108,,"Actor 108, Actress 108",Canada,4-1-2017,2003,TV-MA,122 min,"Crime, Comedy",Description for Title 108
s109,TV Show,Title 109,Director 109,"Actor 109, Actress 109",Germany,11-4-2024,2024,G,4 Seasons,"Action, Adventure",Description for Title 109
s110,Movie,Title 110,Director 110,"Actor 110, Actress 110",Spain,13-7-2016,2010,TV-14,170 min,"Romance, Horror",Description for Title 110
s111,Movie,Title 111,,"Actor 111, Actress 111",United Kingdom,20-12-2019,2019,PG-13,149 min,"Romance, Adventure",Description for Title 111
s112,Movie,Title 112,Director 112,"Actor 112, Actress 112",United States,13-5-2022,2010,TV-14,161 min,"Documentary, Thriller",Description for Title 112
s113,TV Show,Title 113,,"Actor 113, Actress 113",South Korea,19-10-2024,2015,R,9 Seasons,"Romance, Documentary",Description for Title 113
s114,TV Show,Title 114,Director 114,,United States,24-3-2019,1994,R,5 Seasons,"Thriller, Documentary",Description for Title 114
s115,TV Show,Title 115,Director 115,"Actor 115, Actress 115",Germany,1-9-2015,2006,PG,1 Seasons,"Crime, Fantasy",Description for Title 115
s116,Movie,Title 116,Director 116,"Actor 116, Actress 116",United States,12-4-2019,2010,G,176 min,"Comedy, Action",Description for Title 116
s117,Movie,Title 117,Director 117,"Actor 117, Actress 117",United Kingdom,28-8-2016,2010,PG-13,142 min,"Crime, Adventure",Description for Title 117
s118,TV Show,Title 118,Director 118,"Actor 118, Actress 118",Spain,20-6-2017,2004,G,10 Seasons,"Fantasy, Comedy",Description for Title 118
s119,Movie,Title 119,Director 119,,United Kingdom,9-7-2017,1994,R,171 min,"Documentary, Romance",Description for Title 119
s120,Movie,Title 120,Director 120,"Actor 120, Actress 120",Germany,3-8-2017,2001,R,139 min,"Crime, Drama",Description for Title 120
s121,TV Show,Title 121,Director 121,"Actor 121, Actress 121",India,10-10-2018,1995,R,10 Seasons,"Horror, Thriller",Description for Title 121
s122,TV Show,Title 122,Director 122,"Actor 122, Actress 122",India,11-2-2017,1994,TV-MA,2 Seasons,"Adventure, Sci-Fi",Description for Title 122
s123,TV Show,Title 123,Director 123,"Actor 123, Actress 123",Spain,13-12-2022,2006,PG-13,3 Seasons,"Comedy, Documentary",Description for Title 123
s124,Movie,Title 124,Director 124,"Actor 124, Actress 124",Canada,8-8-2017,1994,TV-MA,91 min,"Crime, Horror",Description for Title 124
s125,Movie,Title 125,Director 125,"Actor 125, Actress 125",South Korea,2-6-2024,1992,TV-14,140 min,"Adventure, Crime",Description for Title 125
s126,Movie,Title 126,Director 126,"Actor 126, Actress 126",India,25-5-2017,2016,PG-13,176 min,"Thriller, Adventure",Description for Title 126
s127,Movie,Title 127,,"Actor 127, Actress 127",Japan,17-11-2017,1994,TV-MA,151 min,"Comedy, Drama",Description for Title 127
s128,TV Show,Title 128,Director 128,"Actor 128, Actress 128",United States,10-7-2024,1991,R,9 Seasons,"Documentary, Drama",Description for Title 128
s129,Movie,Title 129,Director 129,"Actor 129, Actress 129",United Kingdom,17-8-2018,2002,TV-14,159 min,"Documentary, Drama",Description for Title 129
s130,Movie,Title 130,Director 130,"Actor 130, Actress 130",Germany,28-10-2022,1995,TV-MA,147 min,"Comedy, Romance",Description for Title 130
s131,TV Show,Title 131,Director 131,"Actor 131, Actress 131",Canada,26-4-2018,2019,PG,10 Seasons,"Fantasy, Crime",Description for Title 131
s132,Movie,Title 132,Director 132,"Actor 132, Actress 132",South Korea,2-7-2020,2021,G,63 min,"Thriller, Comedy",Description for Title 132
s133,TV Show,Title 133,Director 133,"Actor 133, Actress 133",United States,28-10-2021,2012,PG-13,3 Seasons,"Adventure, Fantasy",Description for Title 133
s134,TV Show,Title 134,Director 134,"Actor 134, Actress 134",Canada,23-6-2023,2014,R,2 Seasons,"Action, Romance",Description for Title 134
s135,TV Show,Title 135,,"Actor 135, Actress 135",United Kingdom,10-5-2021,2006,R,6 Seasons,"Fantasy, Comedy",Description for Title 135
s136,Movie,Title 136,Director 136,"Actor 136, Actress 136",Spain,10-4-2015,1993,R,140 min,"Action, Comedy",Description for Title 136
s137,TV Show,Title 137,Director 137,"Actor 137, Actress 137",Japan,10-9-2015,2008,G,10 Seasons,"Horror, Thriller",Description for Title 137
s138,TV Show,Title 138,Director 138,"Actor 138, Actress 138",Germany,2-3-2024,2003,PG-13,5 Seasons,"Horror, Drama",Description for Title 138
s139,Movie,Title 139,Director 139,"Actor 139, Actress 139",United Kingdom,13-10-2022,1992,TV-MA,107 min,"Documentary, Romance",Description for Title 139
s140,TV Show,Title 140,Director 140,,Spain,4-12-2020,2020,TV-MA,4 Seasons,"Fantasy, Comedy",Description for Title 140
s141,Movie,Title 141,Director 141,"Actor 141, Actress 141",South Korea,11-11-2020,2014,PG,107 min,"Action, Thriller",Description for Title 141
s142,Movie,Title 142,Director 142,"Actor 142, Actress 142",South Korea,19-2-2015,2012,PG-13,144 min,"Sci-Fi, Fantasy",Description for Title 142
s143,TV Show,Title 143,Director 143,"Actor 143, Actress 143",United Kingdom,3-8-2019,2020,TV-14,5 Seasons,"Adventure, Drama",Description for Title 143
s144,Movie,Title 144,,"Actor 144, Actress 144",Japan,17-4-2017,1994,TV-14,152 min,"Documentary, Fantasy",Description for Title 144
s145,TV Show,Title 145,,"Actor 145, Actress 145",United Kingdom,23-1-2018,1990,R,5 Seasons,"Adventure, Documentary",Description for Title 145
s146,TV Show,Title 146,Director 146,"Actor 146, Actress 146",United Kingdom,2-6-2021,2024,TV-14,5 Seasons,"Sci-Fi, Drama",Description for Title 146
s147,Movie,Title 147,Director 147,,Canada,14-7-2020,2021,TV-14,69 min,"Horror, Thriller",Description for Title 147
s148,Movie,Title 148,Director 148,"Actor 148, Actress 148",United Kingdom,14-10-2018,2001,PG,82 min,"Fantasy, Drama",Description for Title 148
s149,TV Show,Title 149,,"Actor 149, Actress 149",South Korea,14-2-2020,2007,TV-MA,2 Seasons,"Adventure, Horror",Description for Title 149
s150,TV Show,Title 150,Director 150,"Actor 150, Actress 150",United States,21-12-2022,2015,TV-14,1 Seasons,"Horror, Adventure",Description for Title 150
s151,Movie,Title 151,,,United Kingdom,4-1-2024,2004,G,136 min,"Fantasy, Horror",Description for Title 151
